Year,Trial,ID,NumPlants,Block,Instar,Movements,TimesObs,RelMovements,ArcSineMovements
2018,7,18,4,3,4,1,21,0.047619048,0.219987977
2018,7,18,4,3,5,1,21,0.047619048,0.219987977
2018,7,20,4,4,1,0,18,0,0
2018,7,20,4,4,5,0,18,0,0
2018,7,20,4,4,2,1,18,0.055555556,0.237941125
2018,7,20,4,4,3,1,18,0.055555556,0.237941125
2018,7,20,4,4,4,1,18,0.055555556,0.237941125
2018,7,21,3,4,1,0,17,0,0
2018,7,21,3,4,2,1,17,0.058823529,0.244978663
2018,7,21,3,4,5,1,17,0.058823529,0.244978663
2018,7,21,3,4,3,2,17,0.117647059,0.350105778
2018,7,21,3,4,4,4,17,0.235294118,0.506444643
2018,7,22,3,4,1,0,13,0,0
2018,7,22,3,4,4,1,13,0.076923077,0.281034902
2018,7,22,3,4,3,2,13,0.153846154,0.403057074
2018,7,22,3,4,2,3,13,0.230769231,0.501093013
2018,7,23,3,4,1,0,15,0,0
2018,7,23,3,4,2,0,15,0,0
2018,7,23,3,4,3,0,15,0,0
2018,7,23,3,4,4,0,15,0,0
2018,7,26,2,4,1,0,12,0,0
2018,7,26,2,4,2,1,12,0.083333333,0.292842772
2018,7,26,2,4,3,2,12,0.166666667,0.420534335
2018,7,28,2,6,1,1,15,0.066666667,0.261157411
2018,7,28,2,6,4,1,15,0.066666667,0.261157411
2018,7,28,2,6,2,2,15,0.133333333,0.373792175
2018,7,28,2,6,3,2,15,0.133333333,0.373792175
2018,7,30,4,6,1,0,10,0,0
2018,7,30,4,6,3,1,10,0.1,0.321750554
2018,7,30,4,6,2,3,10,0.3,0.57963974
2018,7,31,4,6,1,0,18,0,0
2018,7,31,4,6,2,1,18,0.055555556,0.237941125
2018,7,31,4,6,3,1,18,0.055555556,0.237941125
2018,7,31,4,6,4,2,18,0.111111111,0.339836909
2018,7,31,4,6,5,3,18,0.166666667,0.420534335
2018,7,33,2,6,1,0,13,0,0
2018,7,33,2,6,2,1,13,0.076923077,0.281034902
2018,7,33,2,6,4,1,13,0.076923077,0.281034902
2018,7,33,2,6,3,2,13,0.153846154,0.403057074
2018,7,35,3,6,1,0,15,0,0
2018,7,35,3,6,2,1,15,0.066666667,0.261157411
2018,7,35,3,6,3,1,15,0.066666667,0.261157411
2018,7,35,3,6,4,3,15,0.2,0.463647609
